739340.6804241640,1.0000000000,-25.5027597826,17.9571502587,-39.8265827238,314.8992107431,-5.3422302195,-23.7344788699,385.2640316219,13.6422545844,365.9557773266,83.4387327660,-34.2657569887,265.0200801888,-80.1570740097,68.0445846975,13.5643281450,-67.8633136699,-71.3679810133,4.9276084814,402.6667568163,86.8021368458,-59.2150066442,11.0117857396,-124.9587161486,31.2378152281,-32.5754711202,91.4551325953,0.0512161978,0.0512161978,1.0000000000,91.4551325953
739340.6804295774,1.0000000000,-25.5027597826,91.3802363902,-39.8265827238,314.8992107431,-5.3422302195,-23.7344788699,385.2640316219,13.6422545844,365.9557773266,83.4387327660,-34.2657569887,265.0200801888,-80.1570740097,68.0445846975,13.5643281450,-67.8633136699,-71.3679810133,4.9276084814,402.6667568163,86.8021368458,-59.2150066442,11.0117857396,-124.9587161486,31.2378152281,-32.5754711202,91.4551325949,0.0512161978,0.0512161978,1.0000000000,91.4551325949
739340.6804316951,1.0000000000,-25.5027597826,17.9571502587,-18.4712643895,314.8992107431,-5.3422302195,-23.7344788699,385.2640316219,13.6422545844,365.9557773266,83.4387327660,-34.2657569887,265.0200801888,-80.1570740097,68.0445846975,13.5643281450,-67.8633136699,-71.3679810133,4.9276084814,402.6667568163,86.8021368458,-59.2150066442,11.0117857396,-124.9587161486,31.2378152281,-32.5754711202,91.4551325945,0.0512161978,0.0512161978,1.0000000000,91.4551325945
739340.6804417789,1.0000000000,-25.5027597826,17.9571502587,-39.8265827238,314.8992107431,-5.3422302195,-23.7344788699,385.2640316219,37.9386819552,365.9557773266,83.4387327660,-34.2657569887,265.0200801888,-80.1570740097,68.0445846975,13.5643281450,-67.8633136699,-71.3679810133,4.9276084814,402.6667568163,86.8021368458,-59.2150066442,11.0117857396,-124.9587161486,31.2378152281,-32.5754711202,58.6036953157,0.0512161978,0.0512161978,1.0000000000,58.6036953157
739340.6804438073,1.0000000000,-25.5027597826,17.9571502587,-39.8265827238,314.8992107431,-5.3422302195,-23.7344788699,385.2640316219,13.6422545844,390.5296281255,83.4387327660,-34.2657569887,265.0200801888,-80.1570740097,68.0445846975,13.5643281450,-67.8633136699,-71.3679810133,4.9276084814,402.6667568163,86.8021368458,-59.2150066442,11.0117857396,-124.9587161486,31.2378152281,-32.5754711202,58.6036952704,0.0512161978,0.0512161978,1.0000000000,58.6036952704
739340.6804789093,1.0000000000,-27.4343116693,23.8112070196,-38.0873543684,320.7667365248,-2.6532165415,-21.7524849686,391.5326046744,15.8346861117,368.1474346954,85.1284011758,-32.4310798546,269.4040568361,-78.1579353612,69.3156734481,16.3062460472,-66.8812894366,-70.5410974782,7.1140895422,404.6180938251,88.3315298592,-57.9322717963,13.2053347919,-149.3182173584,31.4895647337,-30.1342157240,55.2774797588,0.0512161978,0.0512161978,1.0000000000,55.2774797588
739340.6805105964,1.0000000000,-32.0527905605,-29.8357539608,-33.7721809625,314.0814964894,-2.1701640182,-26.5289028918,378.4040056202,21.0988959162,373.4289327567,85.1281220822,-31.5058949051,265.5735106461,-81.6426837704,67.5080614718,15.7745214416,-64.3559285698,-68.3891284898,12.3929227895,409.1777068667,87.7244367242,-54.6884400726,7.0169854608,-130.7720916420,30.7593560531,-31.6752639498,47.0342647497,0.0512161978,0.0512161978,1.0000000000,47.0342647497
739340.6805145509,1.0000000000,-32.5680770483,28.4145583272,-53.9518110295,314.0160467965,-1.9162618889,-26.7509551210,377.8471062716,21.6880061715,374.0217175811,85.2596686702,-31.2831037565,265.6177318515,-81.7623213995,67.4652048315,15.9510112860,-64.0581311883,-68.1332078230,12.9862968663,409.6765657470,87.7968730416,-54.3105467013,6.6965018083,-131.2351407127,30.7260649305,-31.6031226461,45.0088280447,0.0512161978,0.0512161978,1.0000000000,45.0088280447
739340.6805163894,1.0000000000,-36.0085642667,33.7643309896,-67.0451815694,313.5741363575,-0.2021813613,-28.2436484108,374.0573101004,25.6296529872,377.9973899929,86.1334930526,-29.7718649571,265.9160180358,-82.5728694820,67.1761811615,17.1409563567,-61.9833455735,-66.3391705025,16.9707285909,412.9526551061,88.2805666352,-51.7014185050,4.5306653244,-134.3501662086,30.5207567594,-31.1156928801,36.7337346027,0.0512161978,0.0512161978,1.0000000000,36.7337346027
739340.6805695444,1.0000000000,-40.6669002959,13.7476617091,-47.3628477863,309.4648589765,-6.8846756045,-26.2842886525,375.3409584516,29.9270610327,382.7915739153,96.3557268943,-32.4378898849,262.2251788210,-78.1447877593,66.6581663042,12.2100449951,-65.9803974970,-70.3680247201,18.0832394460,407.5064378293,86.8149378660,-55.1840707241,8.0414198192,-143.1480329294,30.9385573945,-33.3459541160,36.5841463674,0.0512161978,0.0512161978,1.0000000000,36.5841463674
